grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_127,temp_qc,XGBoost,0.9842,0.8766,0.9844,0.9229,0.32,0.9597,3.96,267414,41787,153138
Grid_127,temp_qc,CatBoost,0.8933,0.6517,0.923,0.7123,0.2774,0.8318,9.94,267414,41787,153138
Grid_127,temp_qc,LightGBM,0.9138,0.6865,0.9362,0.767,0.2894,0.868,2.61,267414,41787,153138
Grid_127,temp_qc,LogisticRegression,0.662,0.4576,0.7691,0.6566,0.2643,0.7926,50.71,267414,41787,153138
Grid_127,psal_qc,RandomForest,0.9308,0.7074,0.9466,0.7709,0.2182,0.7816,31.98,267422,41787,153138
Grid_127,psal_qc,ExtraTrees,0.8444,0.5839,0.8919,0.6979,0.2064,0.7395,11.59,267422,41787,153138
Grid_127,psal_qc,XGBoost,0.9864,0.8892,0.9863,0.8308,0.2274,0.8147,11.47,267422,41787,153138
Grid_127,psal_qc,CatBoost,0.8744,0.6252,0.9111,0.6383,0.1968,0.705,19.13,267422,41787,153138
Grid_127,psal_qc,LightGBM,0.9334,0.7249,0.9489,0.7186,0.2124,0.7607,7.16,267422,41787,153138
Grid_127,psal_qc,LogisticRegression,0.6356,0.2967,0.7494,0.5244,0.1852,0.6614,79.01,267422,41787,153138
Grid_128,temp_qc,RandomForest,0.9554,0.5958,0.9694,0.8322,0.2272,0.9081,444.16,1187752,52988,161666
Grid_128,temp_qc,ExtraTrees,0.9306,0.5596,0.9554,0.8274,0.2264,0.9053,136.16,1187752,52988,161666
Grid_128,temp_qc,XGBoost,0.9821,0.7069,0.986,0.7817,0.2195,0.8772,161.04,1187752,52988,161666
Grid_128,temp_qc,CatBoost,0.9355,0.4227,0.9586,0.8764,0.2337,0.9338,548.1,1187752,52988,161666
Grid_128,temp_qc,LightGBM,0.9757,0.6647,0.9819,0.8579,0.231,0.9232,93.85,1187752,52988,161666
Grid_128,temp_qc,LogisticRegression,0.6307,0.2107,0.7634,0.6435,0.196,0.7828,561.59,1187752,52988,161666
Grid_128,psal_qc,RandomForest,0.959,0.4288,0.9698,0.7456,0.2198,0.7046,575.71,1182832,52988,161666
Grid_128,psal_qc,ExtraTrees,0.9301,0.42,0.9528,0.7291,0.215,0.6978,159.7,1182832,52988,161666
Grid_128,psal_qc,XGBoost,0.9746,0.5145,0.9802,0.714,0.2179,0.7111,165.39,1182832,52988,161666
Grid_128,psal_qc,CatBoost,0.9016,0.3538,0.9367,0.6919,0.2136,0.6961,612.13,1182832,52988,161666
Grid_128,psal_qc,LightGBM,0.9689,0.7461,0.9765,0.7127,0.2178,0.7073,147.49,1182832,52988,161666
Grid_128,psal_qc,LogisticRegression,0.5758,0.2099,0.7168,0.5716,0.2023,0.6612,2499.07,1182832,52988,161666
Grid_129,temp_qc,RandomForest,0.9308,0.4423,0.9506,0.9079,0.2379,0.9515,507.96,1259876,56766,200344
Grid_129,temp_qc,ExtraTrees,0.8891,0.4022,0.9255,0.8943,0.2361,0.944,152.35,1259876,56766,200344
Grid_129,temp_qc,XGBoost,0.9609,0.5272,0.9698,0.7478,0.2141,0.8556,198.23,1259876,56766,200344
Grid_129,temp_qc,CatBoost,0.904,0.4172,0.935,0.8141,0.2244,0.8974,685.15,1259876,56766,200344
Grid_129,temp_qc,LightGBM,0.9492,0.5406,0.9623,0.85,0.2297,0.9188,104.1,1259876,56766,200344
Grid_129,temp_qc,LogisticRegression,0.652,0.3022,0.7712,0.6892,0.204,0.8159,477.78,1259876,56766,200344
Grid_129,psal_qc,RandomForest,0.939,0.7155,0.9556,0.7911,0.2254,0.7947,441.12,1259932,56766,200344
